06:30,0,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara,Upacara
10:45,6,E3,D2,T3,A1,K2,K3,N1,J3,C3,C4,I1,F2,G7,O2,K1,T1,J1,C2,F4,B3,T2,E2,L1,I2,F3,E1,B4,G6,D1,A2
11:30,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat,Istirahat
12:30,7,K2,Q2,N2,E3,T3,A1,N1,J3,K3,G5,C3,A2,J2,D2,G7,E4,C2,B3,C4,I1,T2,G6,L1,PK1,J4,E1,C1,D1,I2,B4
13:05,8,K2,J1,N2,E3,T3,A1,J3,L1,K3,G5,C3,A2,J2,D2,G7,E4,C2,B3,C4,I1,E2,G6,Q2,PK1,J4,B4,C1,D1,I2,E1
13:45,9,K2,J1,G6,T3,N2,E3,J3,L1,K3,D1,D2,C4,T2,E4,B2,C3,B3,K1,G7,I1,E2,O1,C2,A2,G5,B4,J4,C1,I2,E1
14:20,10,Q2,J1,G6,T3,N2,E3,J3,L1,D1,Q1,D2,C4,T2,E4,B2,C3,B3,K1,G7,Q3,E2,O1,C2,A2,G5,B4,J4,C1,F3,E1
15:00,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai,Selesai
06:30,0,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi,Tadarus / Doa Pagi
06:45,1,N2,K2,E3,F1,J3,G5,H3,F2,I2,I2,J1,E4,B2,C2,K1,I1,G4,T1,G7,T2,G3,B4,S3,E2,H1,F3,G6,F4,E1,G1
07:30,2,C4,K2,E3,F1,J3,G5,H3,F2,I2,I2,J1,E4,B2,C2,K1,I1,G4,T1,G7,T2,G3,B4,S3,E2,H1,F3,G6,F4,E1,G1
